Product ID,Product Name,Category,Brand Score,Cost Price (cp),Selling Price (sp),Days to Expire,Demand Factor,Quantity Left,Discount (%),Adjusted Price
P00030,Fish Fillet,Meat,1,14.55,21.82,1,0.98,484,19.23,17.62
P00031,Apple,Produce,4,53.71,63.67,13,0.92,94,7.17,59.1
P00032,Chicken Breast,Meat,4,33.87,47.88,15,0.43,366,10.08,43.05
P00033,Frozen Berries,Frozen,2,27.09,32.16,2,0.66,287,20.16,25.68
P00034,Cheese,Dairy,1,14.51,18.73,17,0.33,270,13.08,16.28
P00035,Yogurt,Dairy,1,63.55,87.07,8,0.52,492,18.12,71.29
P00036,Ice Cream,Frozen,5,63.51,85.6,14,0.73,299,6.93,79.67
P00037,Frozen Vegetables,Frozen,3,28.38,39.35,8,0.41,77,16.71,32.77
P00038,Bagel,Bakery,3,93.61,138.01,1,0.57,298,20.52,109.69
P00039,Milk,Dairy,5,29.18,35.19,12,0.9,460,6.9,32.76
P00040,Banana,Produce,3,24.2,34.69,10,0.69,423,12.69,30.29
P00041,Frozen Pizza,Frozen,5,36.94,50.44,5,0.41,465,16.56,42.09
P00042,Cream,Dairy,2,34.51,46.31,11,0.36,334,16.11,38.85
P00043,Donut,Bakery,4,32.6,47.7,2,0.27,226,21.27,37.55
P00044,Bread,Bakery,1,40.02,46.12,9,0.33,236,19.08,37.32
P00045,Frozen Berries,Frozen,5,10.87,12.28,5,0.64,437,14.49,10.5
P00046,Donut,Bakery,5,23.33,26.85,10,0.49,487,12.09,23.6
P00047,Cheese,Dairy,2,71.39,97.57,12,0.82,462,11.22,86.62
P00048,Fish Fillet,Meat,2,93.32,111.49,6,0.98,425,14.28,95.57
P00049,Carrot,Produce,1,26.14,38.42,14,0.84,452,10.74,34.29
P00050,Banana,Produce,2,80.86,92.44,2,0.89,123,18.09,75.72
P00051,Carrot,Produce,3,37.47,53.14,8,0.38,347,16.98,44.12
P00052,Carrot,Produce,3,35.07,39.55,9,0.48,270,15.33,33.49
P00053,Fish Fillet,Meat,3,94.53,108.34,9,0.34,145,16.59,90.37
P00054,Milk,Dairy,5,49.11,68.33,11,0.55,271,10.8,60.95
P00055,Butter,Dairy,5,27.11,30.3,14,0.2,483,11.7,26.75
P00056,Ice Cream,Frozen,3,48.82,72.23,11,0.7,349,11.85,63.67
P00057,Cheese,Dairy,5,37.84,47.81,13,0.76,293,7.41,44.27
P00058,Apple,Produce,4,69.84,87.42,6,0.69,164,14.49,74.75
P00059,Fish Fillet,Meat,1,37.35,44.23,19,0.69,174,8.34,40.54
P00060,Sausage,Meat,4,70.81,92.37,6,0.73,155,14.13,79.32
P00061,Frozen Fries,Frozen,3,18.4,27.25,8,0.74,125,13.74,23.51
P00062,Apple,Produce,1,14.16,21.15,20,0.88,47,5.88,19.91
P00063,Sausage,Meat,5,27.5,37.91,16,0.52,85,7.32,35.13
P00064,Milk,Dairy,4,29.7,42.22,17,0.57,295,7.32,39.13
P00065,Spinach,Produce,4,22.0,28.29,17,0.99,314,3.54,27.29
P00066,Bagel,Bakery,5,83.35,121.42,14,0.86,290,5.76,114.43
P00067,Minced Beef,Meat,4,50.51,70.75,9,0.81,276,11.16,62.85
P00068,Minced Beef,Meat,3,49.59,68.7,8,0.42,173,16.62,57.28
P00069,Frozen Pizza,Frozen,2,23.57,29.54,5,0.77,42,16.92,24.54
P00070,Sausage,Meat,3,58.84,74.51,7,0.87,209,13.32,64.59
P00071,Frozen Pizza,Frozen,5,44.23,48.76,12,0.44,209,11.04,43.38
P00072,Fish Fillet,Meat,5,81.99,119.63,16,0.38,233,8.58,109.37
P00073,Chicken Breast,Meat,4,40.25,55.21,13,0.78,440,8.43,50.56
P00074,Minced Beef,Meat,5,58.07,84.94,19,0.65,23,3.9,81.63
P00075,Butter,Dairy,2,88.02,103.22,9,0.5,118,16.35,86.34
P00076,Pork Chops,Meat,3,78.51,98.27,14,0.4,51,12.3,86.18
P00077,Chicken Breast,Meat,5,14.69,21.75,8,0.72,409,11.52,19.24
P00078,Milk,Dairy,2,27.94,30.96,5,0.39,252,20.34,24.66
P00079,Cream,Dairy,2,51.85,62.35,12,0.33,320,15.63,52.6
P00080,Yogurt,Dairy,3,19.73,21.91,10,0.66,474,12.96,19.07
P00081,Sausage,Meat,2,16.84,23.18,8,0.28,405,19.08,18.76
P00082,Donut,Bakery,1,81.66,108.31,2,0.48,229,22.98,83.42
P00083,Bread,Bakery,5,68.28,75.45,14,0.86,64,5.76,71.1
P00084,Pork Chops,Meat,4,73.66,93.86,17,0.97,148,3.72,90.37
P00085,Frozen Fries,Frozen,4,51.84,74.15,19,0.41,446,7.26,68.77
P00086,Spinach,Produce,3,89.35,107.0,15,0.66,352,9.21,97.15
P00087,Pork Chops,Meat,1,54.49,67.02,16,0.37,418,13.47,57.99
P00088,Muffin,Bakery,3,89.23,123.18,9,0.64,274,13.89,106.07
P00089,Spinach,Produce,2,74.81,96.91,8,0.75,340,14.85,82.52
P00090,Sausage,Meat,1,18.37,21.84,8,0.44,307,18.84,17.73
P00091,Bagel,Bakery,5,57.78,73.39,18,0.46,369,6.36,68.72
P00092,Pork Chops,Meat,3,32.63,37.47,7,0.45,390,17.1,31.06
P00093,Ice Cream,Frozen,2,29.47,38.12,19,0.98,278,4.53,36.39
P00094,Frozen Vegetables,Frozen,1,84.94,103.5,12,0.34,17,16.74,86.17
P00095,Ice Cream,Frozen,3,14.1,15.82,10,0.76,74,12.06,13.91
P00096,Chicken Breast,Meat,1,61.67,79.42,15,0.47,36,13.32,68.84
P00097,Bagel,Bakery,1,83.99,105.85,3,0.66,361,20.61,84.03
P00098,Yogurt,Dairy,2,83.0,122.81,3,1.0,70,16.35,102.73
P00099,Frozen Berries,Frozen,5,63.65,85.76,17,0.5,475,6.75,79.97
P00100,Pork Chops,Meat,5,99.1,121.12,20,0.25,388,6.75,112.94
P00101,Yogurt,Dairy,2,33.82,38.3,8,0.34,48,18.54,31.2
P00102,Spinach,Produce,4,50.55,67.61,10,0.23,157,15.63,57.04
P00103,Bagel,Bakery,1,71.86,105.6,19,0.73,488,7.98,97.17
P00104,Carrot,Produce,1,59.01,80.2,9,0.86,46,14.31,68.72
P00105,Yogurt,Dairy,3,63.55,90.86,10,0.55,249,13.95,78.19
P00106,Bagel,Bakery,3,55.04,71.42,3,0.68,465,18.03,58.54
P00107,Pork Chops,Meat,5,32.53,36.97,19,0.67,20,3.72,35.59
P00108,Donut,Bakery,1,78.68,92.06,17,0.72,479,9.57,83.25
P00109,Croissant,Bakery,5,49.23,70.19,3,0.58,219,16.53,58.59
P00110,Muffin,Bakery,1,87.2,107.42,16,0.43,493,12.93,93.53
P00111,Fish Fillet,Meat,1,50.93,62.43,11,0.29,405,17.94,51.23
P00112,Fish Fillet,Meat,1,69.19,91.13,14,0.24,275,16.14,76.42
P00113,Donut,Bakery,4,66.29,93.07,7,0.41,77,16.26,77.94
P00114,Bagel,Bakery,4,20.93,31.17,20,0.84,373,2.64,30.35
P00115,Banana,Produce,5,11.23,14.19,8,0.99,477,9.09,12.9
P00116,Butter,Dairy,1,68.29,79.32,10,0.61,149,15.81,66.78
P00117,Sausage,Meat,4,31.94,42.18,13,0.35,316,12.3,36.99
P00118,Ice Cream,Frozen,1,34.86,49.36,14,0.47,413,14.07,42.42
P00119,Frozen Vegetables,Frozen,1,35.46,43.24,19,0.66,347,8.61,39.52
P00120,Minced Beef,Meat,4,58.47,72.39,18,0.81,203,4.41,69.2
P00121,Pork Chops,Meat,2,98.27,117.48,13,0.39,407,14.34,100.63
P00122,Chicken Breast,Meat,3,77.02,106.45,13,0.51,349,12.06,93.61
P00123,Carrot,Produce,1,21.36,31.74,11,0.9,457,12.45,27.79
P00124,Chicken Breast,Meat,5,91.94,101.7,5,0.53,345,15.48,85.96
P00125,Spinach,Produce,4,80.34,96.89,20,0.75,342,3.45,93.55
P00126,Cheese,Dairy,5,44.2,54.22,16,0.9,28,3.9,52.11
P00127,Frozen Pizza,Frozen,2,66.8,98.09,8,0.8,232,14.4,83.97
P00128,Milk,Dairy,4,24.97,30.46,1,0.24,417,22.29,23.67
P00129,Cheese,Dairy,3,43.74,50.66,17,0.53,359,8.88,46.16
P00130,Apple,Produce,2,17.11,24.78,20,0.75,264,5.85,23.33
P00131,Ice Cream,Frozen,2,51.5,61.88,9,0.73,470,14.28,53.04
P00132,Pork Chops,Meat,5,24.22,30.92,12,0.99,163,6.09,29.04
P00133,Pork Chops,Meat,4,86.08,101.55,13,0.88,64,7.53,93.9
P00134,Carrot,Produce,5,42.31,51.55,10,0.22,434,14.52,44.06
P00135,Pork Chops,Meat,1,60.93,83.74,2,0.93,391,18.93,67.89
P00136,Pork Chops,Meat,2,64.64,80.21,7,0.7,357,16.05,67.34
P00137,Tomato,Produce,1,91.31,124.05,10,0.83,27,13.83,106.89
P00138,Frozen Vegetables,Frozen,2,18.11,22.06,14,0.34,77,14.04,18.96
P00139,Frozen Vegetables,Frozen,5,55.16,66.69,6,0.41,432,15.81,56.15
P00140,Pork Chops,Meat,3,82.38,106.05,3,0.31,125,21.36,83.4
P00141,Fish Fillet,Meat,3,18.13,22.8,9,0.63,242,13.98,19.61
P00142,Muffin,Bakery,5,44.29,60.03,12,0.29,129,12.39,52.59
P00143,Chicken Breast,Meat,5,89.58,118.65,20,0.38,42,5.58,112.03
P00144,Pork Chops,Meat,4,20.5,22.92,2,0.44,262,19.74,18.4
P00145,Milk,Dairy,2,89.85,103.71,15,0.5,496,11.85,91.42
P00146,Frozen Berries,Frozen,5,76.8,89.23,14,0.72,436,7.02,82.97
P00147,Fish Fillet,Meat,4,94.51,114.54,12,0.37,237,12.87,99.8
P00148,Banana,Produce,1,98.28,122.55,12,0.25,151,17.55,101.04
P00149,Spinach,Produce,4,18.25,21.62,20,0.98,35,1.38,21.32
P00150,Croissant,Bakery,2,80.83,95.55,18,0.37,120,10.77,85.26
P00151,Banana,Produce,2,80.98,108.38,9,0.89,84,12.84,94.46
P00152,Lettuce,Produce,3,81.87,93.66,1,0.31,193,22.86,72.25
P00153,Lettuce,Produce,3,11.42,13.77,5,0.79,279,15.54,11.63
P00154,Milk,Dairy,4,50.34,62.66,19,0.29,267,8.34,57.43
P00155,Lettuce,Produce,1,75.45,110.42,17,0.44,339,12.09,97.07
P00156,Milk,Dairy,4,86.26,109.59,4,0.59,475,16.89,91.08
P00157,Chicken Breast,Meat,1,38.99,45.2,5,0.42,334,21.27,35.59
P00158,Frozen Fries,Frozen,3,44.28,59.29,10,0.56,319,13.86,51.07
P00159,Chicken Breast,Meat,1,86.75,118.01,18,0.78,120,8.28,108.24
P00160,Sausage,Meat,2,47.24,67.6,13,0.53,58,13.08,58.76
P00161,Bagel,Bakery,3,69.86,87.31,5,0.75,252,15.9,73.43
P00162,Milk,Dairy,1,18.39,20.94,12,0.85,294,12.15,18.4
P00163,Cream,Dairy,5,60.55,82.83,14,0.48,350,9.18,75.23
P00164,Chicken Breast,Meat,3,64.04,79.45,19,0.61,89,6.66,74.16
P00165,Minced Beef,Meat,1,41.51,54.9,4,0.81,303,18.51,44.74
P00166,Carrot,Produce,5,97.71,139.47,20,0.74,295,2.34,136.21
P00167,Cream,Dairy,3,12.61,15.25,10,0.94,189,10.44,13.66
P00168,Yogurt,Dairy,2,60.97,76.84,5,0.79,25,16.74,63.98
P00169,Cream,Dairy,2,43.86,56.2,6,0.5,379,18.6,45.75
P00170,Donut,Bakery,5,17.65,19.79,6,0.8,35,12.3,17.36
P00171,Cheese,Dairy,4,69.57,90.04,15,0.53,120,9.18,81.77
P00172,Frozen Pizza,Frozen,3,48.69,59.08,19,0.59,351,6.84,55.04
P00173,Bread,Bakery,2,45.57,61.05,1,0.36,494,23.61,46.64
P00174,Apple,Produce,3,36.05,41.39,16,0.8,99,7.2,38.41
P00175,Carrot,Produce,5,73.33,95.34,12,0.26,451,12.66,83.27
P00176,Butter,Dairy,1,51.38,58.12,11,0.66,303,14.61,49.63
P00177,Sausage,Meat,3,20.37,22.58,11,0.34,495,15.09,19.17
P00178,Frozen Berries,Frozen,3,17.93,25.78,8,0.55,215,15.45,21.8
P00179,Frozen Pizza,Frozen,4,88.35,123.54,8,0.47,96,14.97,105.05
P00180,Cream,Dairy,1,57.75,68.0,12,0.48,500,15.48,57.47
P00181,Apple,Produce,1,23.18,27.33,20,0.32,398,10.92,24.35
P00182,Yogurt,Dairy,4,51.76,68.61,19,0.56,483,5.91,64.56
P00183,Frozen Fries,Frozen,3,87.78,118.58,5,0.55,250,17.7,97.59
P00184,Pork Chops,Meat,3,63.23,78.45,3,0.45,241,20.1,62.68
P00185,Milk,Dairy,3,84.85,95.94,3,0.69,269,17.94,78.73
P00186,Sausage,Meat,5,59.89,84.85,2,0.56,424,17.46,70.04
P00187,Ice Cream,Frozen,3,64.45,83.82,2,0.56,425,19.86,67.17
P00188,Bread,Bakery,5,68.15,76.03,15,0.99,278,3.84,73.11
P00189,Frozen Fries,Frozen,2,42.75,62.72,13,0.53,183,13.08,54.52
P00190,Frozen Pizza,Frozen,3,15.93,18.13,13,0.43,380,12.78,15.81
P00191,Ice Cream,Frozen,3,17.34,23.68,12,0.45,345,13.35,20.52
P00192,Minced Beef,Meat,5,73.8,83.68,18,0.5,415,6.0,78.66
P00193,Croissant,Bakery,5,18.41,25.19,17,0.49,195,6.84,23.47
P00194,Croissant,Bakery,2,40.76,57.33,7,0.38,80,18.93,46.48
P00195,Spinach,Produce,3,86.0,98.08,18,0.87,462,5.07,93.11
P00196,Frozen Pizza,Frozen,3,88.88,119.74,20,0.5,93,6.9,111.48
P00197,Tomato,Produce,5,82.81,96.57,15,0.23,196,10.68,86.26
P00198,Carrot,Produce,5,35.64,49.88,15,0.39,132,9.24,45.27
P00199,Bagel,Bakery,2,43.11,63.75,15,0.57,154,11.22,56.6
P00200,Fish Fillet,Meat,5,47.68,55.54,7,0.84,80,11.19,49.33
P00201,Bread,Bakery,4,88.67,117.21,4,0.77,274,15.27,99.31
P00202,Cheese,Dairy,1,78.68,95.13,17,0.32,233,13.17,82.6
P00203,Yogurt,Dairy,4,89.62,131.94,14,0.24,267,12.54,115.39
P00204,Croissant,Bakery,4,99.51,124.38,1,0.45,60,20.4,99.01
P00205,Croissant,Bakery,2,13.45,19.73,16,0.76,81,8.76,18.0
P00206,Sausage,Meat,5,10.47,11.85,9,0.37,86,13.92,10.2
P00207,Frozen Fries,Frozen,5,48.09,67.83,8,0.44,34,14.04,58.31
P00208,Carrot,Produce,5,51.14,58.52,16,0.68,18,5.88,55.08
P00209,Frozen Fries,Frozen,2,74.67,90.84,1,0.69,133,20.64,72.09
P00210,Frozen Berries,Frozen,2,69.79,79.16,12,0.25,279,16.35,66.22
P00211,Frozen Fries,Frozen,5,59.87,75.21,16,0.23,208,9.93,67.74
P00212,Muffin,Bakery,1,42.14,47.49,8,0.79,331,15.69,40.04
P00213,Cream,Dairy,3,22.01,27.31,11,0.85,99,10.5,24.44
P00214,Sausage,Meat,2,83.03,93.43,15,0.23,113,14.28,80.09
P00215,Yogurt,Dairy,1,38.4,47.0,13,0.99,288,10.14,42.23
P00216,Pork Chops,Meat,1,77.8,91.53,12,0.89,34,11.79,80.74
P00217,Muffin,Bakery,1,81.94,104.46,13,0.79,468,11.94,91.99
P00218,Pork Chops,Meat,2,54.66,71.0,17,0.41,52,11.16,63.08
P00219,Chicken Breast,Meat,4,64.22,91.77,18,0.44,62,7.74,84.67
P00220,Cheese,Dairy,3,37.58,50.4,14,0.33,237,12.93,43.88
P00221,Bagel,Bakery,1,75.41,110.45,20,1.0,150,4.8,105.15
P00222,Milk,Dairy,4,42.7,60.65,6,0.96,83,12.06,53.34
P00223,Frozen Berries,Frozen,1,21.36,25.51,12,0.49,496,15.39,21.58
P00224,Frozen Pizza,Frozen,5,23.81,30.48,12,0.5,400,10.5,27.28
P00225,Cream,Dairy,2,57.65,72.59,9,0.4,68,17.25,60.07
P00226,Yogurt,Dairy,4,56.6,82.94,4,0.41,143,18.51,67.59
P00227,Minced Beef,Meat,5,35.7,52.36,16,0.36,79,8.76,47.77
P00228,Butter,Dairy,2,90.88,116.15,3,0.85,442,17.7,95.59
P00229,Muffin,Bakery,1,59.5,72.36,10,0.88,374,13.38,62.68
P00230,Banana,Produce,5,30.18,45.09,5,0.39,262,16.74,37.54
P00231,Cheese,Dairy,5,61.5,79.15,18,0.3,462,7.8,72.98
P00232,Milk,Dairy,3,45.83,63.56,16,0.62,403,8.82,57.95
P00233,Fish Fillet,Meat,1,21.28,26.11,3,0.56,358,21.51,20.49
P00234,Frozen Vegetables,Frozen,2,89.02,125.71,19,0.35,76,10.2,112.89
P00235,Fish Fillet,Meat,1,84.83,110.89,10,0.33,175,18.33,90.56
P00236,Banana,Produce,5,90.54,130.23,9,0.36,499,14.01,111.98
P00237,Frozen Vegetables,Frozen,2,66.25,89.16,3,0.6,96,19.95,71.37
P00238,Frozen Fries,Frozen,2,25.41,34.3,20,0.47,483,8.37,31.43
P00239,Frozen Pizza,Frozen,1,17.31,25.61,19,0.41,117,10.86,22.83
P00240,Frozen Berries,Frozen,5,67.51,87.71,18,0.43,499,6.63,81.89
P00241,Bagel,Bakery,2,82.42,113.24,10,0.56,362,15.06,96.19
P00242,Yogurt,Dairy,4,47.41,60.96,11,0.69,170,10.74,54.41
P00243,Muffin,Bakery,4,21.77,27.17,18,0.28,133,9.18,24.68
P00244,Chicken Breast,Meat,3,50.46,58.35,2,0.43,206,21.03,46.08
P00245,Frozen Berries,Frozen,2,96.64,141.18,11,0.95,379,10.8,125.93
P00246,Croissant,Bakery,2,54.84,71.62,16,0.9,264,7.5,66.25
P00247,Milk,Dairy,4,55.49,82.5,7,0.67,34,13.92,71.02
P00248,Cheese,Dairy,4,63.78,91.66,16,0.43,14,9.33,83.11
P00249,Butter,Dairy,2,89.42,124.38,13,0.49,215,13.44,107.66
P00250,Cream,Dairy,5,27.52,36.36,3,0.51,240,17.16,30.12
P00251,Frozen Vegetables,Frozen,5,71.24,81.75,4,0.52,416,16.32,68.41
P00252,Donut,Bakery,3,77.95,91.95,17,0.52,30,8.97,83.7
P00253,Milk,Dairy,2,74.22,105.51,17,0.57,320,9.72,95.25
P00254,Ice Cream,Frozen,3,93.82,115.16,13,0.99,388,7.74,106.25
P00255,Donut,Bakery,3,55.66,72.57,16,0.77,163,7.47,67.15
P00256,Chicken Breast,Meat,3,39.81,45.54,14,0.67,417,9.87,41.05
P00257,Cream,Dairy,4,33.9,46.18,19,0.66,379,5.01,43.87
P00258,Cream,Dairy,4,25.35,34.26,20,0.82,204,2.82,33.29
P00259,Tomato,Produce,2,12.84,18.99,4,0.35,235,21.45,14.92
P00260,Bagel,Bakery,2,47.17,55.73,17,0.82,481,7.47,51.57
P00261,Chicken Breast,Meat,2,56.68,75.06,16,0.62,170,10.02,67.54
P00262,Carrot,Produce,5,40.81,50.67,9,0.69,108,11.04,45.08
P00263,Banana,Produce,5,36.86,54.43,10,0.82,370,9.12,49.47
P00264,Tomato,Produce,4,38.53,47.76,9,0.43,303,14.58,40.8
P00265,Frozen Berries,Frozen,4,83.65,123.96,5,0.43,157,17.58,102.17
P00266,Cheese,Dairy,4,69.04,96.58,7,0.36,285,16.71,80.44
P00267,Donut,Bakery,3,22.35,30.09,19,0.39,35,8.64,27.49
P00268,Ice Cream,Frozen,2,14.72,18.63,16,0.28,404,13.08,16.19
P00269,Spinach,Produce,5,98.01,114.0,16,0.58,112,6.78,106.27
P00270,Muffin,Bakery,3,68.13,99.69,3,0.72,128,17.67,82.07
P00271,Frozen Pizza,Frozen,2,47.61,68.32,2,1.0,213,17.1,56.64
P00272,Minced Beef,Meat,3,88.91,98.13,19,0.68,485,6.03,92.21
P00273,Muffin,Bakery,4,99.02,130.44,16,0.91,78,5.01,123.9
P00274,Frozen Berries,Frozen,3,27.35,31.32,6,0.78,341,14.88,26.66
P00275,Croissant,Bakery,1,76.3,108.06,19,0.74,108,7.89,99.53
P00276,Lettuce,Produce,4,84.43,110.28,3,0.52,58,18.27,90.13
P00277,Apple,Produce,4,39.12,46.91,9,0.51,238,13.86,40.41
P00278,Muffin,Bakery,3,62.42,82.97,9,0.72,364,13.17,72.04
P00279,Spinach,Produce,1,51.89,60.39,17,0.94,464,7.59,55.81
P00280,Bread,Bakery,3,43.08,51.19,5,0.58,242,17.43,42.27
P00281,Frozen Vegetables,Frozen,4,73.17,107.2,18,0.84,432,4.14,102.76
P00282,Apple,Produce,5,88.58,100.34,15,0.62,195,7.17,93.15
P00283,Cream,Dairy,1,15.56,20.52,17,0.36,284,12.81,17.89
P00284,Apple,Produce,3,86.9,110.95,7,0.77,260,14.22,95.17
P00285,Cream,Dairy,4,82.78,106.07,17,0.53,298,7.68,97.92
P00286,Cream,Dairy,4,70.55,86.3,1,0.52,428,19.77,69.24
P00287,Yogurt,Dairy,5,16.57,21.04,3,0.63,40,16.08,17.66
P00288,Butter,Dairy,1,35.84,42.0,5,0.81,383,17.76,34.54
P00289,Pork Chops,Meat,4,50.37,73.89,13,0.5,359,10.95,65.8
P00290,Ice Cream,Frozen,3,20.68,30.96,13,0.62,382,11.07,27.53
P00291,Spinach,Produce,1,98.06,126.03,18,0.54,204,10.44,112.87
P00292,Apple,Produce,4,41.15,49.8,4,0.23,348,20.13,39.78
P00293,Fish Fillet,Meat,1,31.66,35.68,20,0.23,316,11.73,31.49
P00294,Yogurt,Dairy,1,46.2,55.15,7,0.8,407,16.35,46.13
P00295,Yogurt,Dairy,5,99.41,118.66,19,0.46,316,5.61,112.0
P00296,Croissant,Bakery,3,88.86,132.78,17,0.38,163,10.23,119.2
P00297,Bread,Bakery,5,95.37,138.47,6,0.7,228,13.2,120.19
P00298,Frozen Berries,Frozen,1,97.51,143.99,13,0.83,173,11.58,127.32
P00299,Sausage,Meat,2,36.99,43.41,18,0.58,444,8.88,39.56
P00300,Banana,Produce,2,82.52,120.97,18,0.53,223,9.33,109.68
P00301,Frozen Fries,Frozen,2,44.96,54.04,11,0.72,482,12.87,47.09
P00302,Pork Chops,Meat,1,58.21,83.34,2,0.41,354,23.61,63.66
P00303,Frozen Fries,Frozen,1,88.63,104.16,19,0.78,296,7.53,96.32
P00304,Carrot,Produce,2,88.25,108.83,1,0.37,107,23.52,83.23
P00305,Butter,Dairy,2,72.61,100.31,13,0.93,292,9.48,90.8
P00306,Muffin,Bakery,4,51.96,70.64,10,0.41,272,14.01,60.74
P00307,Sausage,Meat,1,82.25,114.24,11,0.93,199,12.18,100.33
P00308,Bagel,Bakery,1,60.63,72.06,5,0.21,293,23.16,55.37
P00309,Frozen Fries,Frozen,4,36.57,43.1,8,0.5,436,14.7,36.76
P00310,Carrot,Produce,5,68.91,94.68,9,0.81,260,9.96,85.25
P00311,Sausage,Meat,2,75.95,94.24,5,0.78,260,16.83,78.38
P00312,Lettuce,Produce,1,57.15,82.05,3,0.96,352,17.91,67.35
P00313,Milk,Dairy,4,22.37,30.25,3,0.77,14,16.02,25.4
P00314,Lettuce,Produce,4,43.59,58.72,20,0.93,347,1.83,57.65
P00315,Chicken Breast,Meat,1,57.9,73.22,1,0.62,150,22.47,56.77
P00316,Frozen Vegetables,Frozen,1,55.2,76.13,14,0.84,475,10.74,67.95
P00317,Spinach,Produce,1,57.19,68.42,20,0.62,427,8.22,62.8
P00318,Muffin,Bakery,4,17.11,25.39,15,0.65,366,8.1,23.33
P00319,Banana,Produce,1,68.84,99.36,2,0.27,204,24.87,74.65
P00320,Fish Fillet,Meat,4,15.05,16.61,6,0.27,442,18.27,13.58
P00321,Pork Chops,Meat,5,97.96,145.91,17,0.94,127,2.79,141.84
P00322,Tomato,Produce,5,52.8,59.06,3,0.75,153,15.0,50.2
P00323,Frozen Fries,Frozen,1,26.14,37.65,1,0.97,310,19.32,30.38
P00324,Tomato,Produce,4,93.6,114.16,19,0.39,437,7.44,105.67
P00325,Fish Fillet,Meat,3,44.55,62.19,3,0.6,187,18.75,50.53
P00326,Milk,Dairy,4,30.89,34.92,20,0.82,498,2.82,33.94
P00327,Frozen Berries,Frozen,3,12.67,15.32,15,0.59,192,9.84,13.81
P00328,Frozen Berries,Frozen,4,26.72,35.65,13,0.27,326,13.02,31.01
P00329,Croissant,Bakery,1,17.38,20.19,5,0.79,172,17.94,16.57
P00330,Bread,Bakery,1,10.47,12.81,12,0.81,62,12.51,11.21
P00331,Spinach,Produce,2,48.79,64.54,17,0.53,23,10.08,58.03
P00332,Cheese,Dairy,5,18.38,24.61,11,0.89,16,7.74,22.71
P00333,Bagel,Bakery,4,80.13,111.38,18,0.92,134,3.42,107.57
P00334,Frozen Fries,Frozen,2,71.68,83.71,9,0.44,262,16.89,69.57
P00335,Spinach,Produce,2,49.12,62.31,16,0.83,194,8.13,57.24
P00336,Croissant,Bakery,4,63.44,74.75,4,0.31,13,19.41,60.24
P00337,Pork Chops,Meat,5,44.19,63.85,15,0.47,427,8.52,58.41
P00338,Ice Cream,Frozen,3,38.86,57.47,7,0.58,100,15.93,48.32
P00339,Pork Chops,Meat,3,76.14,103.03,19,0.83,176,4.68,98.21
P00340,Pork Chops,Meat,4,42.85,63.11,7,0.67,289,13.92,54.33
