Date,Product_ID,Product_Name,Category,Cost_Price,Selling_Price,Brand_Score,Inventory_Level,Sales,Days_to_Expire,Promotion_Flag,Discount_Percentage,Adjusted_Price,Weather,Holiday_Flag,Lead_Time_Days,Store_ID
2024-04-01,P0022,Product_22,Dairy,152.78,226.75,6.55,111,7,6,1,22.64,175.41,Sunny,0,4,S5
2024-04-01,P0023,Product_23,Beverages,79.42,101.53,6.94,188,15,1,0,0.0,101.53,Sunny,0,4,S4
2024-04-01,P0024,Product_24,Vegetables,128.92,179.67,6.92,39,1,7,0,0.0,179.67,Sunny,0,2,S2
2024-04-01,P0025,Product_25,Bakery,133.42,170.12,8.53,36,5,3,0,0.0,170.12,Sunny,0,4,S2
2024-04-01,P0026,Product_26,Beverages,145.09,184.36,9.28,46,1,8,0,0.0,184.36,Sunny,0,3,S1
2024-04-01,P0027,Product_27,Bakery,165.42,211.11,7.01,129,11,8,0,0.0,211.11,Sunny,0,5,S1
2024-04-01,P0028,Product_28,Dairy,65.39,93.87,7.32,152,9,12,0,0.0,93.87,Sunny,0,4,S1
2024-04-01,P0029,Product_29,Snacks,114.98,166.98,7.35,127,10,8,0,0.0,166.98,Sunny,0,6,S2
2024-04-01,P0030,Product_30,Dairy,166.6,187.62,9.14,50,3,3,1,14.11,161.15,Sunny,0,2,S1
2024-04-01,P0031,Product_31,Beverages,75.23,89.18,7.0,144,17,4,0,0.0,89.18,Sunny,0,5,S2
2024-04-01,P0032,Product_32,Beverages,179.11,230.36,9.09,99,13,13,0,0.0,230.36,Sunny,0,6,S5
2024-04-01,P0033,Product_33,Beverages,12.54,15.99,5.61,61,8,10,0,0.0,15.99,Sunny,0,5,S2
2024-04-01,P0034,Product_34,Snacks,125.82,169.02,5.18,66,6,14,0,0.0,169.02,Sunny,0,4,S1
2024-04-01,P0035,Product_35,Vegetables,46.11,57.57,9.05,116,13,4,1,17.28,47.62,Sunny,0,6,S4
2024-04-01,P0036,Product_36,Beverages,100.12,112.52,8.87,157,17,7,1,28.54,80.41,Sunny,0,5,S3
2024-04-01,P0037,Product_37,Dairy,164.56,229.97,5.5,123,9,12,0,0.0,229.97,Sunny,0,5,S3
2024-04-01,P0038,Product_38,Dairy,32.58,45.75,8.94,36,3,7,1,19.09,37.02,Sunny,0,2,S3
2024-04-01,P0039,Product_39,Beverages,54.14,80.64,7.95,31,6,11,1,15.37,68.25,Sunny,0,5,S3
2024-04-01,P0040,Product_40,Dairy,182.31,263.19,7.57,137,13,1,0,0.0,263.19,Sunny,0,6,S4
2024-04-01,P0041,Product_41,Bakery,111.83,142.31,6.5,151,18,5,1,29.58,100.21,Sunny,0,6,S3
2024-04-01,P0042,Product_42,Snacks,121.73,172.12,8.19,144,9,6,0,0.0,172.12,Sunny,0,6,S4
2024-04-01,P0043,Product_43,Snacks,140.68,172.7,5.05,87,7,5,0,0.0,172.7,Sunny,0,6,S4
2024-04-01,P0044,Product_44,Snacks,162.24,184.25,6.01,39,7,9,0,0.0,184.25,Sunny,0,6,S3
2024-04-01,P0045,Product_45,Snacks,48.71,61.76,6.03,182,18,1,0,0.0,61.76,Sunny,0,6,S2
2024-04-01,P0046,Product_46,Dairy,146.89,202.67,6.45,123,14,2,0,0.0,202.67,Sunny,0,4,S2
2024-04-01,P0047,Product_47,Vegetables,93.03,110.07,6.46,184,19,14,0,0.0,110.07,Sunny,0,4,S5
2024-04-01,P0048,Product_48,Snacks,85.28,98.34,8.02,36,9,13,1,14.61,83.97,Sunny,0,4,S1
2024-04-01,P0049,Product_49,Beverages,71.24,99.66,5.57,64,5,5,0,0.0,99.66,Sunny,0,3,S5
2024-04-01,P0050,Product_50,Bakery,58.98,68.71,5.11,126,15,11,1,25.23,51.37,Sunny,0,4,S1
2024-04-01,P0051,Product_51,Snacks,144.0,171.83,9.3,115,13,10,1,11.77,151.61,Sunny,0,4,S2
2024-04-01,P0052,Product_52,Bakery,173.03,203.5,5.93,187,28,13,1,23.77,155.13,Sunny,0,3,S1
2024-04-01,P0053,Product_53,Vegetables,63.64,72.15,9.49,114,12,13,0,0.0,72.15,Sunny,0,3,S1
2024-04-01,P0054,Product_54,Vegetables,125.83,188.74,8.11,68,9,3,0,0.0,188.74,Sunny,0,6,S4
2024-04-01,P0055,Product_55,Bakery,91.48,125.39,8.61,124,14,11,0,0.0,125.39,Sunny,0,6,S2
2024-04-01,P0056,Product_56,Dairy,107.61,130.12,8.68,199,31,14,1,23.8,99.15,Sunny,0,2,S4
2024-04-01,P0057,Product_57,Beverages,66.1,95.13,5.95,61,8,1,1,5.25,90.14,Sunny,0,3,S5
2024-04-01,P0058,Product_58,Beverages,64.47,91.7,6.71,181,17,5,0,0.0,91.7,Sunny,0,4,S5
2024-04-01,P0059,Product_59,Vegetables,122.85,178.07,5.14,172,13,10,0,0.0,178.07,Sunny,0,3,S1
2024-04-01,P0060,Product_60,Vegetables,61.17,79.32,6.85,117,12,5,0,0.0,79.32,Sunny,0,2,S5
2024-04-01,P0061,Product_61,Dairy,108.16,119.31,8.23,39,5,5,0,0.0,119.31,Sunny,0,5,S4
2024-04-01,P0062,Product_62,Snacks,147.05,185.28,5.35,99,7,3,0,0.0,185.28,Sunny,0,2,S4
2024-04-01,P0063,Product_63,Snacks,133.4,177.77,8.53,77,9,11,1,21.76,139.09,Sunny,0,4,S4
2024-04-01,P0064,Product_64,Vegetables,14.05,16.33,9.06,87,8,14,0,0.0,16.33,Sunny,0,2,S3
2024-04-01,P0065,Product_65,Vegetables,22.51,30.57,7.81,49,7,13,0,0.0,30.57,Sunny,0,4,S2
2024-04-01,P0066,Product_66,Dairy,176.97,236.5,9.43,87,12,8,0,0.0,236.5,Sunny,0,5,S3
2024-04-01,P0067,Product_67,Beverages,32.09,41.14,9.02,138,15,4,0,0.0,41.14,Sunny,0,2,S3
2024-04-01,P0068,Product_68,Snacks,73.93,81.33,6.93,110,9,9,0,0.0,81.33,Sunny,0,6,S5
2024-04-01,P0069,Product_69,Dairy,157.76,214.73,9.01,157,16,6,0,0.0,214.73,Sunny,0,6,S4
2024-04-01,P0070,Product_70,Beverages,81.86,120.31,5.58,141,16,10,1,11.92,105.97,Sunny,0,2,S1
2024-04-01,P0071,Product_71,Snacks,124.65,182.64,7.78,81,3,5,1,18.8,148.3,Sunny,0,3,S5
2024-04-01,P0072,Product_72,Vegetables,123.55,152.99,7.52,89,6,2,0,0.0,152.99,Sunny,0,6,S2
2024-04-01,P0073,Product_73,Vegetables,140.27,172.28,6.67,150,10,14,0,0.0,172.28,Sunny,0,3,S3
2024-04-01,P0074,Product_74,Vegetables,63.05,73.54,7.52,183,21,4,0,0.0,73.54,Sunny,0,2,S4
2024-04-01,P0075,Product_75,Beverages,51.31,74.88,7.04,183,12,6,0,0.0,74.88,Sunny,0,2,S1
2024-04-01,P0076,Product_76,Vegetables,123.51,148.88,6.37,103,9,12,0,0.0,148.88,Sunny,0,2,S4
2024-04-01,P0077,Product_77,Dairy,76.62,112.35,6.16,119,13,3,0,0.0,112.35,Sunny,0,5,S3
2024-04-01,P0078,Product_78,Beverages,166.04,195.75,6.76,45,4,2,0,0.0,195.75,Sunny,0,3,S2
2024-04-01,P0079,Product_79,Dairy,158.52,208.73,5.22,95,9,5,0,0.0,208.73,Sunny,0,6,S4
2024-04-01,P0080,Product_80,Vegetables,61.72,69.68,7.27,55,3,10,0,0.0,69.68,Sunny,0,3,S2
2024-04-01,P0081,Product_81,Snacks,174.77,200.64,7.17,106,11,8,0,0.0,200.64,Sunny,0,5,S1
2024-04-01,P0082,Product_82,Bakery,62.2,81.66,9.18,191,24,14,1,23.12,62.78,Sunny,0,3,S2
2024-04-01,P0083,Product_83,Vegetables,90.76,104.41,5.3,106,14,12,1,9.57,94.42,Sunny,0,6,S5
2024-04-01,P0084,Product_84,Snacks,193.65,269.57,5.22,36,2,13,1,25.58,200.61,Sunny,0,6,S1
2024-04-01,P0085,Product_85,Beverages,27.2,40.03,8.24,147,17,10,0,0.0,40.03,Sunny,0,4,S1
2024-04-01,P0086,Product_86,Dairy,171.93,189.99,7.11,65,7,10,0,0.0,189.99,Sunny,0,5,S3
2024-04-01,P0087,Product_87,Bakery,199.25,253.27,6.34,82,4,3,1,23.59,193.52,Sunny,0,6,S1
2024-04-01,P0088,Product_88,Bakery,72.32,94.75,9.0,93,11,8,0,0.0,94.75,Sunny,0,6,S3
2024-04-01,P0089,Product_89,Bakery,125.11,173.91,8.84,149,9,3,1,17.57,143.35,Sunny,0,2,S4
2024-04-01,P0090,Product_90,Beverages,39.62,47.23,6.03,66,5,5,0,0.0,47.23,Sunny,0,2,S3
2024-04-01,P0091,Product_91,Bakery,162.18,201.36,7.22,170,17,14,0,0.0,201.36,Sunny,0,3,S4
2024-04-01,P0092,Product_92,Dairy,162.91,194.76,7.54,40,5,14,0,0.0,194.76,Sunny,0,4,S3
2024-04-01,P0093,Product_93,Dairy,191.09,213.18,8.97,57,3,13,0,0.0,213.18,Sunny,0,2,S4
2024-04-01,P0094,Product_94,Snacks,27.28,38.48,5.27,67,6,9,0,0.0,38.48,Sunny,0,4,S5
2024-04-01,P0095,Product_95,Vegetables,147.88,188.77,5.85,68,5,8,0,0.0,188.77,Sunny,0,5,S2
2024-04-01,P0096,Product_96,Vegetables,163.63,242.8,8.76,57,5,10,0,0.0,242.8,Sunny,0,6,S5
2024-04-01,P0097,Product_97,Beverages,53.56,59.59,6.13,91,4,4,1,10.48,53.34,Sunny,0,5,S5
2024-04-01,P0098,Product_98,Snacks,97.22,144.45,6.85,101,11,1,1,9.66,130.5,Sunny,0,6,S3
2024-04-01,P0099,Product_99,Dairy,41.69,59.17,8.74,76,10,8,1,28.66,42.21,Sunny,0,5,S3
2024-04-01,P0100,Product_100,Snacks,24.78,35.56,5.8,78,10,4,0,0.0,35.56,Sunny,0,5,S2
2024-04-02,P0001,Product_1,Dairy,81.28,112.99,6.38,66,11,1,0,0.0,112.99,Sunny,0,4,S5
2024-04-02,P0002,Product_2,Vegetables,115.73,166.25,7.16,70,7,9,1,28.87,118.25,Sunny,0,4,S5
2024-04-02,P0003,Product_3,Beverages,197.95,289.02,5.93,194,20,7,0,0.0,289.02,Sunny,0,5,S5
2024-04-02,P0004,Product_4,Vegetables,179.66,251.81,6.29,44,6,8,1,29.46,177.63,Sunny,0,2,S2
2024-04-02,P0005,Product_5,Snacks,141.32,193.58,9.19,116,14,13,0,0.0,193.58,Sunny,0,3,S3
2024-04-02,P0006,Product_6,Snacks,100.18,118.22,5.02,151,15,2,0,0.0,118.22,Sunny,0,5,S4
2024-04-02,P0007,Product_7,Bakery,195.97,222.27,6.46,140,13,6,0,0.0,222.27,Sunny,0,2,S4
2024-04-02,P0008,Product_8,Snacks,42.86,47.27,8.25,70,7,12,0,0.0,47.27,Sunny,0,3,S3
2024-04-02,P0009,Product_9,Snacks,40.63,60.38,7.26,166,20,10,0,0.0,60.38,Sunny,0,2,S3
2024-04-02,P0010,Product_10,Bakery,46.49,51.74,5.92,38,5,7,0,0.0,51.74,Sunny,0,5,S2
2024-04-02,P0011,Product_11,Dairy,14.58,18.95,6.48,122,19,2,0,0.0,18.95,Sunny,0,6,S3
2024-04-02,P0012,Product_12,Dairy,20.12,24.06,7.28,134,16,10,1,16.94,19.98,Sunny,0,5,S1
2024-04-02,P0013,Product_13,Snacks,97.88,124.68,8.74,164,20,5,1,25.89,92.4,Sunny,0,5,S3
2024-04-02,P0014,Product_14,Dairy,145.83,204.86,8.14,116,13,13,1,24.51,154.65,Sunny,0,5,S2
2024-04-02,P0015,Product_15,Beverages,54.13,60.98,8.74,154,14,12,1,6.6,56.96,Sunny,0,5,S5
2024-04-02,P0016,Product_16,Dairy,172.47,195.1,6.71,175,18,13,0,0.0,195.1,Sunny,0,2,S3
2024-04-02,P0017,Product_17,Vegetables,143.21,185.11,7.59,41,3,9,0,0.0,185.11,Sunny,0,6,S1
2024-04-02,P0018,Product_18,Dairy,72.0,81.26,6.15,132,14,1,0,0.0,81.26,Sunny,0,6,S1
2024-04-02,P0019,Product_19,Bakery,18.43,25.63,6.32,44,6,2,0,0.0,25.63,Sunny,0,6,S3
2024-04-02,P0020,Product_20,Bakery,130.37,177.65,9.04,125,12,5,0,0.0,177.65,Sunny,0,2,S5
2024-04-02,P0021,Product_21,Snacks,39.65,43.74,7.12,137,11,10,0,0.0,43.74,Sunny,0,2,S5
2024-04-02,P0022,Product_22,Dairy,152.78,226.75,6.55,157,12,13,1,22.0,176.87,Sunny,0,5,S2
2024-04-02,P0023,Product_23,Beverages,79.42,101.53,6.94,101,11,8,0,0.0,101.53,Sunny,0,5,S3
2024-04-02,P0024,Product_24,Vegetables,128.92,179.67,6.92,148,12,3,0,0.0,179.67,Sunny,0,5,S1
2024-04-02,P0025,Product_25,Bakery,133.42,170.12,8.53,163,11,2,0,0.0,170.12,Sunny,0,2,S3
2024-04-02,P0026,Product_26,Beverages,145.09,184.36,9.28,122,7,11,0,0.0,184.36,Sunny,0,2,S2
2024-04-02,P0027,Product_27,Bakery,165.42,211.11,7.01,73,3,10,0,0.0,211.11,Sunny,0,6,S3
2024-04-02,P0028,Product_28,Dairy,65.39,93.87,7.32,117,9,7,1,16.02,78.83,Sunny,0,4,S3
2024-04-02,P0029,Product_29,Snacks,114.98,166.98,7.35,104,8,1,0,0.0,166.98,Sunny,0,4,S5
2024-04-02,P0030,Product_30,Dairy,166.6,187.62,9.14,76,7,12,0,0.0,187.62,Sunny,0,4,S5
2024-04-02,P0031,Product_31,Beverages,75.23,89.18,7.0,117,13,12,0,0.0,89.18,Sunny,0,2,S5
2024-04-02,P0032,Product_32,Beverages,179.11,230.36,9.09,44,6,3,1,13.23,199.88,Sunny,0,5,S1
2024-04-02,P0033,Product_33,Beverages,12.54,15.99,5.61,47,5,5,0,0.0,15.99,Sunny,0,5,S5
2024-04-02,P0034,Product_34,Snacks,125.82,169.02,5.18,161,15,3,0,0.0,169.02,Sunny,0,4,S4
2024-04-02,P0035,Product_35,Vegetables,46.11,57.57,9.05,159,13,14,0,0.0,57.57,Sunny,0,3,S5
2024-04-02,P0036,Product_36,Beverages,100.12,112.52,8.87,132,21,13,1,27.36,81.73,Sunny,0,2,S2
2024-04-02,P0037,Product_37,Dairy,164.56,229.97,5.5,185,17,6,0,0.0,229.97,Sunny,0,4,S5
2024-04-02,P0038,Product_38,Dairy,32.58,45.75,8.94,100,13,3,0,0.0,45.75,Sunny,0,2,S1
2024-04-02,P0039,Product_39,Beverages,54.14,80.64,7.95,145,21,13,0,0.0,80.64,Sunny,0,4,S3
2024-04-02,P0040,Product_40,Dairy,182.31,263.19,7.57,121,10,8,0,0.0,263.19,Sunny,0,2,S2
2024-04-02,P0041,Product_41,Bakery,111.83,142.31,6.5,149,17,11,0,0.0,142.31,Sunny,0,5,S5
2024-04-02,P0042,Product_42,Snacks,121.73,172.12,8.19,189,17,6,1,11.4,152.5,Sunny,0,3,S3
2024-04-02,P0043,Product_43,Snacks,140.68,172.7,5.05,109,13,12,0,0.0,172.7,Sunny,0,5,S2
2024-04-02,P0044,Product_44,Snacks,162.24,184.25,6.01,73,3,2,1,9.06,167.56,Sunny,0,4,S5
2024-04-02,P0045,Product_45,Snacks,48.71,61.76,6.03,147,14,9,0,0.0,61.76,Sunny,0,3,S2
2024-04-02,P0046,Product_46,Dairy,146.89,202.67,6.45,59,8,9,0,0.0,202.67,Sunny,0,5,S5
2024-04-02,P0047,Product_47,Vegetables,93.03,110.07,6.46,97,2,4,0,0.0,110.07,Sunny,0,5,S2
2024-04-02,P0048,Product_48,Snacks,85.28,98.34,8.02,118,18,4,1,8.08,90.39,Sunny,0,4,S1
2024-04-02,P0049,Product_49,Beverages,71.24,99.66,5.57,40,2,9,0,0.0,99.66,Sunny,0,4,S3
2024-04-02,P0050,Product_50,Bakery,58.98,68.71,5.11,40,2,4,0,0.0,68.71,Sunny,0,6,S1
2024-04-02,P0051,Product_51,Snacks,144.0,171.83,9.3,147,18,4,0,0.0,171.83,Sunny,0,3,S4
2024-04-02,P0052,Product_52,Bakery,173.03,203.5,5.93,195,15,1,0,0.0,203.5,Sunny,0,3,S4
2024-04-02,P0053,Product_53,Vegetables,63.64,72.15,9.49,92,5,10,0,0.0,72.15,Sunny,0,4,S5
2024-04-02,P0054,Product_54,Vegetables,125.83,188.74,8.11,124,15,5,0,0.0,188.74,Sunny,0,5,S2
2024-04-02,P0055,Product_55,Bakery,91.48,125.39,8.61,192,17,3,0,0.0,125.39,Sunny,0,6,S4
2024-04-02,P0056,Product_56,Dairy,107.61,130.12,8.68,157,13,11,0,0.0,130.12,Sunny,0,3,S4
2024-04-02,P0057,Product_57,Beverages,66.1,95.13,5.95,166,22,2,0,0.0,95.13,Sunny,0,3,S4
2024-04-02,P0058,Product_58,Beverages,64.47,91.7,6.71,36,3,6,0,0.0,91.7,Sunny,0,4,S4
2024-04-02,P0059,Product_59,Vegetables,122.85,178.07,5.14,38,2,6,0,0.0,178.07,Sunny,0,2,S4
2024-04-02,P0060,Product_60,Vegetables,61.17,79.32,6.85,54,7,2,0,0.0,79.32,Sunny,0,2,S2
2024-04-02,P0061,Product_61,Dairy,108.16,119.31,8.23,179,15,12,0,0.0,119.31,Sunny,0,6,S1
2024-04-02,P0062,Product_62,Snacks,147.05,185.28,5.35,82,7,12,0,0.0,185.28,Sunny,0,6,S5
2024-04-02,P0063,Product_63,Snacks,133.4,177.77,8.53,158,24,9,1,24.34,134.5,Sunny,0,3,S3
2024-04-02,P0064,Product_64,Vegetables,14.05,16.33,9.06,70,5,7,0,0.0,16.33,Sunny,0,4,S5
2024-04-02,P0065,Product_65,Vegetables,22.51,30.57,7.81,135,14,2,1,14.62,26.1,Sunny,0,2,S1
2024-04-02,P0066,Product_66,Dairy,176.97,236.5,9.43,43,4,8,0,0.0,236.5,Sunny,0,4,S4
2024-04-02,P0067,Product_67,Beverages,32.09,41.14,9.02,190,19,8,0,0.0,41.14,Sunny,0,6,S5
2024-04-02,P0068,Product_68,Snacks,73.93,81.33,6.93,112,13,13,0,0.0,81.33,Sunny,0,5,S2
2024-04-02,P0069,Product_69,Dairy,157.76,214.73,9.01,105,10,3,0,0.0,214.73,Sunny,0,6,S4
2024-04-02,P0070,Product_70,Beverages,81.86,120.31,5.58,60,3,8,0,0.0,120.31,Sunny,0,6,S3
2024-04-02,P0071,Product_71,Snacks,124.65,182.64,7.78,63,8,2,1,9.49,165.31,Sunny,0,5,S4
2024-04-02,P0072,Product_72,Vegetables,123.55,152.99,7.52,152,12,7,0,0.0,152.99,Sunny,0,3,S3
2024-04-02,P0073,Product_73,Vegetables,140.27,172.28,6.67,145,12,10,1,17.46,142.2,Sunny,0,2,S5
2024-04-02,P0074,Product_74,Vegetables,63.05,73.54,7.52,180,15,3,1,17.97,60.32,Sunny,0,4,S5
2024-04-02,P0075,Product_75,Beverages,51.31,74.88,7.04,88,10,10,0,0.0,74.88,Sunny,0,5,S3
2024-04-02,P0076,Product_76,Vegetables,123.51,148.88,6.37,152,11,14,1,11.89,131.18,Sunny,0,5,S3
2024-04-02,P0077,Product_77,Dairy,76.62,112.35,6.16,103,6,3,0,0.0,112.35,Sunny,0,6,S5
2024-04-02,P0078,Product_78,Beverages,166.04,195.75,6.76,73,7,10,1,25.41,146.01,Sunny,0,4,S1
2024-04-02,P0079,Product_79,Dairy,158.52,208.73,5.22,143,17,1,0,0.0,208.73,Sunny,0,4,S4
2024-04-02,P0080,Product_80,Vegetables,61.72,69.68,7.27,57,0,6,1,18.92,56.5,Sunny,0,3,S2
2024-04-02,P0081,Product_81,Snacks,174.77,200.64,7.17,140,11,13,0,0.0,200.64,Sunny,0,4,S2
2024-04-02,P0082,Product_82,Bakery,62.2,81.66,9.18,70,4,8,0,0.0,81.66,Sunny,0,3,S1
2024-04-02,P0083,Product_83,Vegetables,90.76,104.41,5.3,175,13,8,0,0.0,104.41,Sunny,0,5,S3
2024-04-02,P0084,Product_84,Snacks,193.65,269.57,5.22,196,18,9,0,0.0,269.57,Sunny,0,2,S1
2024-04-02,P0085,Product_85,Beverages,27.2,40.03,8.24,132,14,1,1,9.23,36.34,Sunny,0,3,S5
2024-04-02,P0086,Product_86,Dairy,171.93,189.99,7.11,123,9,7,1,26.63,139.4,Sunny,0,6,S5
2024-04-02,P0087,Product_87,Bakery,199.25,253.27,6.34,130,13,12,0,0.0,253.27,Sunny,0,2,S4
2024-04-02,P0088,Product_88,Bakery,72.32,94.75,9.0,113,7,4,0,0.0,94.75,Sunny,0,4,S1
2024-04-02,P0089,Product_89,Bakery,125.11,173.91,8.84,100,8,10,0,0.0,173.91,Sunny,0,6,S3
2024-04-02,P0090,Product_90,Beverages,39.62,47.23,6.03,137,11,3,1,12.59,41.28,Sunny,0,2,S3
2024-04-02,P0091,Product_91,Bakery,162.18,201.36,7.22,53,3,12,0,0.0,201.36,Sunny,0,2,S2
2024-04-02,P0092,Product_92,Dairy,162.91,194.76,7.54,127,13,5,1,6.97,181.19,Sunny,0,5,S2
2024-04-02,P0093,Product_93,Dairy,191.09,213.18,8.97,175,14,12,0,0.0,213.18,Sunny,0,2,S2
2024-04-02,P0094,Product_94,Snacks,27.28,38.48,5.27,54,8,10,0,0.0,38.48,Sunny,0,2,S3
2024-04-02,P0095,Product_95,Vegetables,147.88,188.77,5.85,82,14,14,0,0.0,188.77,Sunny,0,5,S4
2024-04-02,P0096,Product_96,Vegetables,163.63,242.8,8.76,82,9,1,1,18.79,197.18,Sunny,0,2,S5
2024-04-02,P0097,Product_97,Beverages,53.56,59.59,6.13,145,10,14,0,0.0,59.59,Sunny,0,4,S3
2024-04-02,P0098,Product_98,Snacks,97.22,144.45,6.85,44,6,14,0,0.0,144.45,Sunny,0,5,S5
2024-04-02,P0099,Product_99,Dairy,41.69,59.17,8.74,77,2,4,0,0.0,59.17,Sunny,0,4,S1
2024-04-02,P0100,Product_100,Snacks,24.78,35.56,5.8,160,19,2,0,0.0,35.56,Sunny,0,6,S1
2024-04-03,P0001,Product_1,Dairy,81.28,112.99,6.38,146,13,9,1,17.05,93.73,Rainy,0,5,S5
2024-04-03,P0002,Product_2,Vegetables,115.73,166.25,7.16,175,22,7,1,26.79,121.71,Rainy,0,4,S1
2024-04-03,P0003,Product_3,Beverages,197.95,289.02,5.93,115,14,3,0,0.0,289.02,Rainy,0,2,S4
2024-04-03,P0004,Product_4,Vegetables,179.66,251.81,6.29,177,19,12,0,0.0,251.81,Rainy,0,5,S4
2024-04-03,P0005,Product_5,Snacks,141.32,193.58,9.19,108,11,7,0,0.0,193.58,Rainy,0,6,S2
2024-04-03,P0006,Product_6,Snacks,100.18,118.22,5.02,36,5,14,1,15.49,99.91,Rainy,0,4,S5
2024-04-03,P0007,Product_7,Bakery,195.97,222.27,6.46,45,3,1,1,24.9,166.92,Rainy,0,5,S3
2024-04-03,P0008,Product_8,Snacks,42.86,47.27,8.25,45,5,1,0,0.0,47.27,Rainy,0,4,S3
2024-04-03,P0009,Product_9,Snacks,40.63,60.38,7.26,101,14,4,0,0.0,60.38,Rainy,0,2,S2
2024-04-03,P0010,Product_10,Bakery,46.49,51.74,5.92,140,14,6,0,0.0,51.74,Rainy,0,6,S4
2024-04-03,P0011,Product_11,Dairy,14.58,18.95,6.48,190,18,8,0,0.0,18.95,Rainy,0,4,S4
2024-04-03,P0012,Product_12,Dairy,20.12,24.06,7.28,45,3,4,0,0.0,24.06,Rainy,0,2,S1
2024-04-03,P0013,Product_13,Snacks,97.88,124.68,8.74,109,11,10,0,0.0,124.68,Rainy,0,2,S5
2024-04-03,P0014,Product_14,Dairy,145.83,204.86,8.14,91,10,1,0,0.0,204.86,Rainy,0,4,S4
2024-04-03,P0015,Product_15,Beverages,54.13,60.98,8.74,171,9,3,0,0.0,60.98,Rainy,0,5,S4
2024-04-03,P0016,Product_16,Dairy,172.47,195.1,6.71,189,25,5,0,0.0,195.1,Rainy,0,6,S2
2024-04-03,P0017,Product_17,Vegetables,143.21,185.11,7.59,103,12,5,1,13.85,159.47,Rainy,0,6,S2
2024-04-03,P0018,Product_18,Dairy,72.0,81.26,6.15,116,5,8,1,10.77,72.51,Rainy,0,5,S4
2024-04-03,P0019,Product_19,Bakery,18.43,25.63,6.32,78,7,3,1,19.2,20.71,Rainy,0,4,S1
2024-04-03,P0020,Product_20,Bakery,130.37,177.65,9.04,131,18,11,0,0.0,177.65,Rainy,0,2,S2
2024-04-03,P0021,Product_21,Snacks,39.65,43.74,7.12,140,12,4,0,0.0,43.74,Rainy,0,6,S5
2024-04-03,P0022,Product_22,Dairy,152.78,226.75,6.55,184,16,5,0,0.0,226.75,Rainy,0,3,S3
2024-04-03,P0023,Product_23,Beverages,79.42,101.53,6.94,85,3,13,1,8.41,92.99,Rainy,0,3,S5
2024-04-03,P0024,Product_24,Vegetables,128.92,179.67,6.92,196,18,7,0,0.0,179.67,Rainy,0,4,S5
