product_id,product_name,category,base_price,days_to_expiry,demand_factor,current_stock,adjusted_price
WMT00071,Product_71,Dairy,63.2,28,1.27,116,64.21
WMT00072,Product_72,Bakery,34.35,17,0.59,179,16.21
WMT00073,Product_73,Meat,162.58,9,0.88,178,117.32
WMT00074,Product_74,Bakery,30.07,28,0.73,296,17.56
WMT00075,Product_75,Meat,70.14,13,0.68,149,38.16
WMT00076,Product_76,Meat,135.18,30,0.69,193,74.62
WMT00077,Product_77,Vegetables,139.5,2,1.37,116,183.47
WMT00078,Product_78,Vegetables,160.87,12,0.59,265,75.93
WMT00079,Product_79,Fruits,138.92,16,1.35,264,150.03
WMT00080,Product_80,Bakery,87.27,14,1.21,255,84.48
WMT00081,Product_81,Meat,122.61,22,1.13,130,110.84
WMT00082,Product_82,Fruits,134.96,7,1.35,156,156.69
WMT00083,Product_83,Dairy,104.45,11,1.05,70,87.74
WMT00084,Product_84,Meat,116.96,16,0.57,248,53.33
WMT00085,Product_85,Dairy,163.34,9,0.66,168,88.4
WMT00086,Product_86,Fruits,41.27,20,1.4,15,46.22
WMT00087,Product_87,Vegetables,137.66,1,0.54,139,72.85
WMT00088,Product_88,Fruits,130.03,3,0.64,264,78.23
WMT00089,Product_89,Dairy,85.62,25,0.59,52,40.41
WMT00090,Product_90,Meat,112.28,14,0.8,189,71.86
WMT00091,Product_91,Bakery,33.42,6,0.52,80,15.29
WMT00092,Product_92,Fruits,63.44,14,1.27,67,64.46
WMT00093,Product_93,Meat,165.29,17,0.77,81,101.82
WMT00094,Product_94,Vegetables,164.6,18,0.77,71,101.39
WMT00095,Product_95,Vegetables,24.74,23,0.66,136,13.06
WMT00096,Product_96,Vegetables,182.49,22,0.89,187,129.93
WMT00097,Product_97,Meat,126.95,22,0.6,267,60.94
WMT00098,Product_98,Fruits,74.7,17,0.92,283,54.98
WMT00099,Product_99,Meat,152.06,21,1.27,262,154.49
WMT00100,Product_100,Meat,70.66,14,1.47,24,83.1
WMT00101,Product_101,Bakery,67.11,12,1.44,139,77.31
WMT00102,Product_102,Bakery,158.6,25,0.74,115,93.89
WMT00103,Product_103,Fruits,142.82,19,1.25,82,142.82
WMT00104,Product_104,Bakery,118.34,13,0.81,28,76.68
WMT00105,Product_105,Vegetables,79.15,19,1.42,287,89.91
WMT00106,Product_106,Bakery,128.87,4,1.09,19,129.23
WMT00107,Product_107,Vegetables,60.09,6,0.86,145,45.48
WMT00108,Product_108,Fruits,65.89,7,0.57,225,32.3
WMT00109,Product_109,Meat,48.03,19,1.06,274,40.73
WMT00110,Product_110,Meat,120.75,9,0.76,41,75.25
WMT00111,Product_111,Bakery,179.59,8,0.92,36,138.79
WMT00112,Product_112,Vegetables,199.94,1,0.51,266,99.93
WMT00113,Product_113,Dairy,146.6,4,1.18,283,159.15
WMT00114,Product_114,Dairy,195.87,16,0.69,231,108.12
WMT00115,Product_115,Dairy,132.0,5,1.4,176,166.32
WMT00116,Product_116,Meat,143.42,3,0.68,230,91.67
WMT00117,Product_117,Meat,98.12,9,0.87,255,70.0
WMT00118,Product_118,Vegetables,171.53,30,1.03,110,141.34
WMT00119,Product_119,Bakery,127.37,28,0.81,110,82.54
WMT00120,Product_120,Dairy,23.8,10,1.42,148,27.04
WMT00121,Product_121,Vegetables,110.1,18,1.4,199,123.31
WMT00122,Product_122,Vegetables,198.82,14,1.48,266,235.4
WMT00123,Product_123,Bakery,192.3,14,1.11,138,170.76
WMT00124,Product_124,Vegetables,29.0,2,1.25,31,34.8
WMT00125,Product_125,Bakery,96.09,24,1.11,257,85.33
WMT00126,Product_126,Fruits,185.99,29,1.23,65,183.01
WMT00127,Product_127,Bakery,33.07,17,1.33,246,35.19
WMT00128,Product_128,Dairy,193.04,21,1.01,177,155.98
WMT00129,Product_129,Dairy,72.47,8,0.6,97,36.52
WMT00130,Product_130,Bakery,174.82,15,1.21,161,169.23
WMT00131,Product_131,Fruits,97.2,2,1.32,238,123.17
WMT00132,Product_132,Fruits,134.96,9,1.38,228,152.72
WMT00133,Product_133,Dairy,176.8,22,1.39,129,196.6
WMT00134,Product_134,Fruits,89.97,8,1.5,292,113.36
WMT00135,Product_135,Vegetables,38.51,2,1.03,178,38.08
WMT00136,Product_136,Meat,156.66,10,1.24,18,155.41
WMT00137,Product_137,Vegetables,143.27,3,0.86,87,115.82
WMT00138,Product_138,Dairy,170.35,12,0.75,13,102.21
WMT00139,Product_139,Fruits,70.1,29,1.25,14,70.1
WMT00140,Product_140,Bakery,194.66,4,1.15,175,205.95
WMT00141,Product_141,Meat,93.66,13,0.64,104,47.95
WMT00142,Product_142,Bakery,175.78,17,0.61,184,85.78
WMT00143,Product_143,Dairy,29.03,29,0.71,213,16.49
WMT00144,Product_144,Fruits,194.43,1,1.15,151,219.12
WMT00145,Product_145,Bakery,81.61,28,0.95,90,62.02
WMT00146,Product_146,Bakery,113.4,10,1.28,210,116.12
WMT00147,Product_147,Meat,196.16,18,1.45,92,227.55
WMT00148,Product_148,Meat,119.79,14,0.56,161,53.67
WMT00149,Product_149,Fruits,70.42,30,1.21,183,68.17
WMT00150,Product_150,Meat,142.1,6,1.0,289,125.05
WMT00151,Product_151,Bakery,65.89,27,0.54,232,28.46
WMT00152,Product_152,Bakery,136.56,19,1.25,69,136.56
WMT00153,Product_153,Dairy,107.21,17,0.9,106,77.19
WMT00154,Product_154,Bakery,143.15,19,0.9,152,103.07
WMT00155,Product_155,Fruits,195.49,29,1.35,244,211.13
WMT00156,Product_156,Vegetables,78.01,19,0.58,204,36.2
WMT00157,Product_157,Dairy,107.15,18,1.47,48,126.01
WMT00158,Product_158,Dairy,71.28,14,0.52,170,29.65
WMT00159,Product_159,Fruits,21.22,21,0.5,160,8.49
WMT00160,Product_160,Fruits,61.49,29,1.32,13,64.93
WMT00161,Product_161,Meat,55.51,21,1.11,10,49.29
WMT00162,Product_162,Dairy,85.79,24,0.86,65,59.02
WMT00163,Product_163,Meat,154.35,4,0.55,105,78.1
WMT00164,Product_164,Bakery,113.59,25,0.54,266,49.07
WMT00165,Product_165,Dairy,94.45,28,0.96,272,72.54
WMT00166,Product_166,Dairy,100.52,4,0.85,11,78.61
WMT00167,Product_167,Vegetables,126.11,2,1.03,57,124.7
WMT00168,Product_168,Dairy,129.6,15,1.15,158,119.23
WMT00169,Product_169,Bakery,52.05,14,0.83,132,34.56
WMT00170,Product_170,Meat,47.42,14,1.03,165,39.07
WMT00171,Product_171,Meat,75.82,8,0.65,72,41.4
WMT00172,Product_172,Vegetables,74.67,7,1.42,283,91.19
WMT00173,Product_173,Bakery,187.38,2,0.98,98,176.29
WMT00174,Product_174,Meat,95.48,3,1.47,154,131.93
WMT00175,Product_175,Fruits,136.15,13,1.45,193,157.93
WMT00176,Product_176,Bakery,38.1,3,1.28,106,45.84
WMT00177,Product_177,Bakery,68.69,3,0.97,293,62.63
WMT00178,Product_178,Vegetables,193.75,26,1.26,275,195.3
WMT00179,Product_179,Meat,82.32,24,0.51,10,33.59
WMT00180,Product_180,Bakery,111.09,20,0.53,216,47.1
WMT00181,Product_181,Meat,58.14,29,0.53,246,24.65
WMT00182,Product_182,Fruits,199.17,27,1.07,255,170.49
WMT00183,Product_183,Vegetables,33.55,29,1.15,88,30.87
WMT00184,Product_184,Fruits,123.07,20,1.16,90,114.21
WMT00185,Product_185,Vegetables,34.9,26,0.82,162,22.89
WMT00186,Product_186,Bakery,44.53,24,0.9,113,32.06
WMT00187,Product_187,Vegetables,175.02,10,1.36,129,190.42
WMT00188,Product_188,Dairy,92.63,10,0.87,16,64.47
WMT00189,Product_189,Meat,58.21,14,1.12,212,52.16
WMT00190,Product_190,Meat,187.81,24,1.44,299,216.36
WMT00191,Product_191,Dairy,170.31,4,0.83,171,130.05
WMT00192,Product_192,Fruits,197.0,10,1.38,166,217.49
WMT00193,Product_193,Dairy,99.75,12,0.53,91,42.29
WMT00194,Product_194,Bakery,155.34,13,0.86,94,106.87
WMT00195,Product_195,Bakery,145.52,30,0.92,124,107.1
WMT00196,Product_196,Meat,105.23,28,1.3,58,109.44
WMT00197,Product_197,Bakery,115.67,3,1.26,20,137.0
WMT00198,Product_198,Meat,123.91,16,0.91,54,90.21
WMT00199,Product_199,Dairy,173.06,5,1.14,99,177.56
WMT00200,Product_200,Dairy,49.78,26,0.54,170,21.5
WMT00201,Product_201,Dairy,111.11,6,0.68,42,66.49
WMT00202,Product_202,Meat,62.26,4,1.37,74,78.47
WMT00203,Product_203,Dairy,138.57,20,0.97,291,107.53
WMT00204,Product_204,Dairy,84.87,13,0.52,122,35.31
WMT00205,Product_205,Fruits,86.73,24,0.63,122,43.71
WMT00206,Product_206,Dairy,55.73,17,0.81,253,36.11
WMT00207,Product_207,Bakery,70.09,29,1.35,18,75.7
WMT00208,Product_208,Meat,116.88,30,1.23,235,115.01
WMT00209,Product_209,Fruits,52.73,3,1.35,40,66.91
WMT00210,Product_210,Vegetables,63.39,21,1.38,27,69.98
WMT00211,Product_211,Meat,134.05,1,0.79,117,103.78
WMT00212,Product_212,Bakery,41.09,24,1.33,41,43.72
WMT00213,Product_213,Meat,76.4,4,0.66,90,46.39
WMT00214,Product_214,Bakery,174.38,26,1.26,101,175.78
WMT00215,Product_215,Bakery,105.91,18,0.99,152,83.88
WMT00216,Product_216,Vegetables,128.36,17,0.86,94,88.31
WMT00217,Product_217,Meat,160.16,22,1.09,246,139.66
WMT00218,Product_218,Vegetables,141.0,20,1.15,299,129.72
WMT00219,Product_219,Vegetables,86.72,8,1.01,119,73.57
WMT00220,Product_220,Meat,195.33,22,0.71,59,110.95
WMT00221,Product_221,Dairy,57.93,21,0.67,212,31.05
WMT00222,Product_222,Dairy,118.22,14,0.9,211,85.12
WMT00223,Product_223,Vegetables,180.72,14,0.6,130,86.75
WMT00224,Product_224,Fruits,196.88,17,0.82,82,129.15
WMT00225,Product_225,Vegetables,165.08,10,0.8,152,105.65
WMT00226,Product_226,Vegetables,64.72,26,1.33,53,68.86
WMT00227,Product_227,Vegetables,183.02,15,1.36,267,199.13
WMT00228,Product_228,Dairy,56.86,15,0.9,19,40.94
WMT00229,Product_229,Dairy,85.09,8,1.36,273,97.21
WMT00230,Product_230,Dairy,110.76,29,1.47,55,130.25
WMT00231,Product_231,Vegetables,58.83,19,0.51,150,24.0
WMT00232,Product_232,Fruits,109.09,26,1.05,257,91.64
WMT00233,Product_233,Dairy,41.13,21,0.5,296,16.45
WMT00234,Product_234,Meat,77.53,14,1.39,168,86.21
WMT00235,Product_235,Meat,50.03,1,0.88,42,43.15
WMT00236,Product_236,Meat,77.56,1,1.49,192,113.25
WMT00237,Product_237,Bakery,142.66,3,0.95,80,127.4
WMT00238,Product_238,Vegetables,149.13,26,1.26,130,150.32
WMT00239,Product_239,Meat,46.5,6,0.91,193,37.24
WMT00240,Product_240,Vegetables,62.25,6,0.6,269,32.87
WMT00241,Product_241,Meat,145.76,6,1.24,290,159.05
WMT00242,Product_242,Fruits,37.28,17,1.34,89,39.96
WMT00243,Product_243,Vegetables,56.81,25,0.55,266,25.0
WMT00244,Product_244,Meat,82.9,3,1.03,12,80.26
WMT00245,Product_245,Dairy,153.59,25,1.08,111,132.7
WMT00246,Product_246,Vegetables,162.49,6,1.03,47,147.28
WMT00247,Product_247,Bakery,179.45,20,0.71,76,101.93
WMT00248,Product_248,Dairy,78.66,21,1.14,141,71.74
WMT00249,Product_249,Dairy,98.69,19,1.2,115,94.74
WMT00250,Product_250,Bakery,119.31,17,1.12,280,106.9
WMT00251,Product_251,Dairy,108.35,1,1.05,251,111.49
WMT00252,Product_252,Dairy,179.57,22,1.43,38,205.43
WMT00253,Product_253,Meat,87.28,25,0.58,50,40.5
WMT00254,Product_254,Meat,22.22,8,1.21,238,22.58
WMT00255,Product_255,Vegetables,147.7,16,0.73,213,86.26
WMT00256,Product_256,Vegetables,174.2,12,0.77,115,107.31
WMT00257,Product_257,Vegetables,78.63,15,1.29,66,81.15
WMT00258,Product_258,Meat,78.69,3,0.72,156,53.26
WMT00259,Product_259,Vegetables,114.18,25,0.68,25,62.11
WMT00260,Product_260,Dairy,199.82,13,0.74,86,118.29
WMT00261,Product_261,Meat,74.87,1,1.06,247,77.77
WMT00262,Product_262,Vegetables,113.33,27,0.8,284,72.53
WMT00263,Product_263,Dairy,130.36,28,0.77,138,80.3
WMT00264,Product_264,Vegetables,72.67,7,1.4,51,87.49
WMT00265,Product_265,Fruits,105.65,4,1.2,85,116.64
WMT00266,Product_266,Vegetables,142.17,21,1.45,107,164.92
WMT00267,Product_267,Fruits,48.66,6,0.86,119,36.83
WMT00268,Product_268,Vegetables,88.23,8,1.01,257,74.85
WMT00269,Product_269,Bakery,85.76,14,1.43,96,98.11
WMT00270,Product_270,Vegetables,82.51,8,1.38,238,95.65
WMT00271,Product_271,Meat,99.32,18,1.17,163,92.96
WMT00272,Product_272,Meat,52.35,4,1.38,191,66.46
WMT00273,Product_273,Fruits,54.07,7,0.5,127,23.25
WMT00274,Product_274,Meat,151.86,19,1.12,188,136.07
WMT00275,Product_275,Dairy,101.33,24,1.11,187,89.98
WMT00276,Product_276,Bakery,157.91,18,0.5,18,63.16
WMT00277,Product_277,Bakery,177.8,9,1.39,230,202.66
WMT00278,Product_278,Dairy,48.3,24,0.74,85,28.59
WMT00279,Product_279,Fruits,135.16,24,0.7,162,75.69
WMT00280,Product_280,Dairy,176.41,19,1.24,77,175.0
WMT00281,Product_281,Dairy,191.31,10,1.32,28,202.02
WMT00282,Product_282,Bakery,150.31,20,0.68,146,81.77
WMT00283,Product_283,Vegetables,88.5,19,0.56,261,39.65
WMT00284,Product_284,Bakery,114.24,9,1.34,220,125.53
WMT00285,Product_285,Bakery,86.09,19,1.21,116,83.34
WMT00286,Product_286,Meat,116.93,4,0.98,129,105.42
WMT00287,Product_287,Dairy,168.76,8,0.63,14,89.31
WMT00288,Product_288,Bakery,44.46,17,1.24,55,44.1
WMT00289,Product_289,Dairy,45.85,6,1.17,47,47.21
WMT00290,Product_290,Meat,56.51,9,0.68,96,31.51
WMT00291,Product_291,Dairy,147.21,17,0.84,22,98.93
WMT00292,Product_292,Bakery,34.89,18,1.03,172,28.75
WMT00293,Product_293,Dairy,93.58,7,0.74,73,59.55
WMT00294,Product_294,Meat,102.83,6,1.22,152,110.4
WMT00295,Product_295,Vegetables,172.85,15,1.18,145,163.17
WMT00296,Product_296,Dairy,31.43,3,0.72,276,21.27
WMT00297,Product_297,Bakery,86.62,6,0.86,152,65.55
WMT00298,Product_298,Meat,173.02,27,1.41,77,195.17
WMT00299,Product_299,Bakery,134.46,20,1.17,248,125.85
WMT00300,Product_300,Bakery,100.86,26,0.73,263,58.9
WMT00301,Product_301,Dairy,24.4,25,0.7,291,13.66
WMT00302,Product_302,Bakery,159.58,11,0.97,297,123.83
WMT00303,Product_303,Dairy,170.4,18,0.85,201,115.87
WMT00304,Product_304,Vegetables,158.06,13,1.49,237,188.41
WMT00305,Product_305,Bakery,169.3,14,1.42,46,192.32
WMT00306,Product_306,Bakery,177.39,4,0.88,25,143.61
WMT00307,Product_307,Bakery,188.7,22,1.38,70,208.32
WMT00308,Product_308,Fruits,99.89,10,0.68,75,54.34
WMT00309,Product_309,Fruits,186.48,30,1.26,240,187.97
WMT00310,Product_310,Meat,156.28,2,1.19,120,178.53
WMT00311,Product_311,Fruits,173.21,1,1.28,255,217.27
WMT00312,Product_312,Meat,118.07,21,1.32,283,124.68
WMT00313,Product_313,Fruits,145.39,24,1.11,220,129.11
WMT00314,Product_314,Vegetables,95.86,13,0.9,144,69.02
WMT00315,Product_315,Meat,152.5,15,1.4,178,170.8
WMT00316,Product_316,Fruits,36.15,20,0.96,71,27.76
WMT00317,Product_317,Vegetables,197.7,14,0.54,214,85.41
WMT00318,Product_318,Fruits,197.77,4,0.97,258,176.49
WMT00319,Product_319,Dairy,125.81,11,1.27,291,127.82
WMT00320,Product_320,Dairy,105.06,17,0.91,276,76.48
WMT00321,Product_321,Vegetables,114.5,17,1.12,198,102.59
WMT00322,Product_322,Bakery,175.11,25,1.0,19,140.09
WMT00323,Product_323,Bakery,144.25,8,1.01,199,122.38
WMT00324,Product_324,Dairy,172.86,5,1.26,69,196.02
WMT00325,Product_325,Dairy,64.67,21,0.64,277,33.11
WMT00326,Product_326,Bakery,53.18,10,1.14,10,48.5
WMT00327,Product_327,Meat,188.31,7,0.73,236,118.22
WMT00328,Product_328,Bakery,119.14,20,0.77,34,73.39
WMT00329,Product_329,Fruits,199.33,19,1.2,53,191.36
WMT00330,Product_330,Meat,163.66,28,1.0,122,130.93
WMT00331,Product_331,Fruits,146.8,18,0.7,50,82.21
WMT00332,Product_332,Dairy,137.85,1,1.48,200,199.94
WMT00333,Product_333,Meat,159.79,18,0.7,24,89.48
WMT00334,Product_334,Fruits,197.2,25,0.58,287,91.5
WMT00335,Product_335,Fruits,176.4,17,1.34,27,189.1
WMT00336,Product_336,Meat,90.26,22,0.7,227,50.55
WMT00337,Product_337,Vegetables,168.98,11,0.6,92,81.11
WMT00338,Product_338,Bakery,101.52,3,1.31,240,125.01
WMT00339,Product_339,Fruits,154.6,9,1.34,97,169.87
WMT00340,Product_340,Bakery,172.11,21,1.07,252,147.33
WMT00341,Product_341,Bakery,156.7,15,1.44,163,180.52
WMT00342,Product_342,Dairy,107.61,5,1.31,47,126.87
WMT00343,Product_343,Bakery,156.74,15,0.68,92,85.27
WMT00344,Product_344,Fruits,68.57,13,1.22,256,66.92
WMT00345,Product_345,Dairy,71.87,8,1.35,278,81.5
WMT00346,Product_346,Meat,40.48,2,1.05,87,40.8
WMT00347,Product_347,Fruits,132.73,23,1.18,105,125.3
WMT00348,Product_348,Dairy,186.82,6,1.16,96,190.71
WMT00349,Product_349,Dairy,47.84,20,0.94,108,35.98
WMT00350,Product_350,Bakery,50.43,18,1.09,156,43.97
WMT00351,Product_351,Meat,22.16,11,1.38,102,24.46
WMT00352,Product_352,Fruits,193.65,18,0.67,127,103.8
WMT00353,Product_353,Fruits,138.22,8,1.15,94,133.52
WMT00354,Product_354,Bakery,161.29,16,1.11,83,143.23
WMT00355,Product_355,Meat,158.89,29,1.33,115,169.06
WMT00356,Product_356,Fruits,169.6,21,1.26,28,170.96
WMT00357,Product_357,Meat,141.79,28,0.69,245,78.27
WMT00358,Product_358,Fruits,164.0,20,1.02,38,133.82
WMT00359,Product_359,Bakery,43.67,20,1.39,56,48.56
WMT00360,Product_360,Vegetables,121.84,23,1.18,103,115.02
WMT00361,Product_361,Fruits,152.08,13,0.51,207,62.05
WMT00362,Product_362,Dairy,41.96,11,1.46,291,49.01
WMT00363,Product_363,Dairy,113.21,10,1.08,78,97.81
WMT00364,Product_364,Vegetables,100.56,26,1.32,62,106.19
WMT00365,Product_365,Fruits,120.62,15,1.31,130,126.41
WMT00366,Product_366,Dairy,178.83,23,1.32,112,188.84
WMT00367,Product_367,Dairy,87.69,20,1.42,147,99.62
WMT00368,Product_368,Fruits,184.85,25,0.95,75,140.49
WMT00369,Product_369,Meat,97.85,19,0.57,108,44.62
WMT00370,Product_370,Fruits,126.67,10,1.27,241,128.7
WMT00371,Product_371,Meat,137.39,6,1.15,139,139.04
WMT00372,Product_372,Vegetables,128.94,14,1.16,124,119.66
WMT00373,Product_373,Bakery,67.34,5,1.22,222,73.94
WMT00374,Product_374,Vegetables,33.36,29,0.77,85,20.55
WMT00375,Product_375,Bakery,191.21,9,0.57,79,89.37
WMT00376,Product_376,Dairy,138.44,17,0.93,110,103.0
WMT00377,Product_377,Dairy,115.27,2,1.38,278,152.71
WMT00378,Product_378,Dairy,113.37,1,1.34,105,148.88
WMT00379,Product_379,Meat,47.35,4,1.3,257,56.63
WMT00380,Product_380,Bakery,45.36,26,0.97,38,35.2
WMT00381,Product_381,Dairy,88.6,13,0.87,19,61.67
WMT00382,Product_382,Fruits,195.38,18,1.01,207,157.87
WMT00383,Product_383,Bakery,112.93,16,1.33,227,120.16
WMT00384,Product_384,Bakery,151.51,19,1.38,83,167.27
WMT00385,Product_385,Meat,22.65,21,0.7,151,12.68
WMT00386,Product_386,Vegetables,144.92,26,1.27,106,147.24
WMT00387,Product_387,Meat,107.25,25,0.81,256,69.5
WMT00388,Product_388,Dairy,87.19,13,1.0,96,69.75
WMT00389,Product_389,Fruits,109.17,29,0.8,145,69.87
WMT00390,Product_390,Fruits,163.78,25,0.55,79,72.06
WMT00391,Product_391,Dairy,155.04,23,1.29,103,160.0
WMT00392,Product_392,Fruits,64.18,15,0.62,234,31.83
WMT00393,Product_393,Meat,137.17,25,0.89,106,97.67
WMT00394,Product_394,Meat,134.12,25,1.48,161,158.8
WMT00395,Product_395,Dairy,84.85,9,1.11,227,77.23
WMT00396,Product_396,Fruits,127.73,25,1.37,90,139.99
WMT00397,Product_397,Bakery,137.24,11,0.51,30,55.99
WMT00398,Product_398,Vegetables,137.09,21,1.48,253,162.31
WMT00399,Product_399,Bakery,94.73,21,0.79,185,59.87
WMT00400,Product_400,Meat,51.72,22,0.79,88,32.69
WMT00401,Product_401,Meat,132.78,23,0.8,95,84.98
WMT00402,Product_402,Meat,143.58,23,0.78,235,89.59
WMT00403,Product_403,Meat,89.0,11,1.32,255,93.98
WMT00404,Product_404,Vegetables,74.01,28,0.74,185,43.81
WMT00405,Product_405,Dairy,45.23,6,0.64,280,25.47
WMT00406,Product_406,Meat,77.44,19,0.94,270,58.23
WMT00407,Product_407,Fruits,118.48,24,0.57,281,54.03
WMT00408,Product_408,Vegetables,118.33,26,0.52,241,49.23
WMT00409,Product_409,Meat,124.84,11,1.42,72,141.82
WMT00410,Product_410,Fruits,162.85,25,0.98,154,127.67
WMT00411,Product_411,Meat,20.3,16,1.39,129,22.57
WMT00412,Product_412,Dairy,193.92,22,0.99,213,153.58
WMT00413,Product_413,Vegetables,118.72,4,1.2,182,131.07
WMT00414,Product_414,Dairy,112.6,30,1.3,137,117.1
WMT00415,Product_415,Vegetables,157.41,4,0.56,111,81.1
WMT00416,Product_416,Meat,188.48,11,1.3,144,196.02
WMT00417,Product_417,Meat,157.25,6,1.07,247,148.07
WMT00418,Product_418,Vegetables,114.55,15,0.7,250,64.15
WMT00419,Product_419,Fruits,36.52,27,1.42,37,41.49
WMT00420,Product_420,Fruits,181.26,6,0.59,112,94.11
WMT00421,Product_421,Meat,102.87,7,1.39,74,122.97
WMT00422,Product_422,Meat,70.82,25,0.71,277,40.23
WMT00423,Product_423,Dairy,154.02,28,0.57,286,70.23
WMT00424,Product_424,Meat,184.54,16,0.53,160,78.24
WMT00425,Product_425,Vegetables,56.78,5,1.08,34,55.19
WMT00426,Product_426,Fruits,92.05,10,1.43,147,105.31
WMT00427,Product_427,Fruits,64.01,25,1.03,158,52.74
WMT00428,Product_428,Dairy,195.18,27,0.74,230,115.55
WMT00429,Product_429,Fruits,112.04,6,0.59,194,58.17
WMT00430,Product_430,Fruits,111.37,29,0.52,231,46.33
WMT00431,Product_431,Bakery,80.06,29,0.7,184,44.83
WMT00432,Product_432,Vegetables,120.5,19,1.12,169,107.97
WMT00433,Product_433,Bakery,111.01,10,0.82,287,72.82
WMT00434,Product_434,Fruits,66.99,5,0.85,133,51.25
